StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,Started,GlobalTeamID,Updated,Games,FantasyPoints,Minutes,Seconds,FieldGoalsMade,FieldGoalsAttempted,FieldGoalsPercentage,EffectiveFieldGoalsPercentage,TwoPointersMade,TwoPointersAttempted,TwoPointersPercentage,ThreePointersMade,ThreePointersAttempted,ThreePointersPercentage,FreeThrowsMade,FreeThrowsAttempted,FreeThrowsPercentage,OffensiveRebounds,DefensiveRebounds,Rebounds,OffensiveReboundsPercentage,DefensiveReboundsPercentage,TotalReboundsPercentage,Assists,Steals,BlockedShots,Turnovers,PersonalFouls,Points,TrueShootingAttempts,TrueShootingPercentage,PlayerEfficiencyRating,AssistsPercentage,StealsPercentage,BlocksPercentage,TurnOversPercentage,UsageRatePercentage,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlusMinus,DoubleDoubles,TripleDoubles,FantasyPointsFantasyDraft,IsClosed,LineupConfirmed,LineupStatus
1010167,26,20000486,1,2023,Klay Thompson,GS,SG,29,20000026,2023-01-02T05:12:02,29,969.0,1096,68,238.0,592.0,48.1,61.4,106.4,245.2,51.9,131.6,346.8,45.3,55.0,62.2,105.8,21.5,111.2,132.8,3.1,13.2,9.5,86.1,22.7,15.5,58.6,65.8,662.6,619.4,64.0,20.5,14.2,1.4,1.8,10.3,31.2,1007.3,1070.7,1007.3,122.0,0.0,0.0,1070.7,False,,Scrambled
1010119,26,20000487,1,2023,Andre Iguodala,GS,SF,0,20000026,2023-01-02T05:12:02,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
1011156,3,20000492,1,2023,Justin Holiday,ATL,SF,0,20000003,2023-01-02T05:12:02,26,239.1,478,14,55.0,144.7,45.4,59.3,20.3,44.3,54.9,34.7,100.5,41.3,0.0,0.0,0.0,2.9,23.9,26.3,0.7,7.9,4.2,27.5,7.2,12.0,14.4,41.9,144.7,144.7,59.8,11.1,10.6,0.8,3.0,10.8,16.8,257.0,264.9,257.0,-56.2,0.0,0.0,264.9,False,,Scrambled
1011849,15,20000497,1,2023,Giannis Antetokounmpo,MIL,PF,30,20000015,2023-01-02T05:12:02,30,1929.7,1208,53,411.4,772.6,63.7,65.9,383.9,663.8,69.1,27.5,108.8,30.3,300.2,465.2,77.1,81.3,343.3,424.6,10.3,35.1,22.1,185.4,31.1,33.5,137.5,129.2,1150.6,977.3,70.4,40.9,36.4,1.8,3.3,14.7,46.5,1994.3,2073.0,1994.3,56.2,25.1,1.4,2073.0,False,,Scrambled
1011851,15,20000500,1,2023,Khris Middleton,MIL,SF,7,20000015,2023-01-02T05:12:02,7,173.5,203,39,29.9,92.1,38.9,46.6,16.7,43.1,46.5,13.2,49.0,32.1,20.3,22.7,107.0,1.4,20.3,21.5,0.9,12.3,7.9,37.1,5.7,1.4,13.2,21.5,93.3,102.1,54.5,15.1,31.1,1.6,0.7,13.6,28.5,179.5,187.8,179.5,-14.4,0.0,0.0,187.8,False,,Scrambled
1011155,4,20000515,1,2023,Jimmy Butler,MIA,SF,23,20000004,2023-01-02T05:12:02,23,1145.9,960,6,203.3,385.1,63.1,66.1,184.2,328.9,67.0,19.1,56.2,40.7,173.4,209.3,99.1,55.0,128.0,183.0,9.1,19.2,13.1,159.1,58.6,11.4,47.8,40.7,599.2,477.2,75.1,35.5,33.0,4.3,1.4,10.9,29.0,1214.1,1195.7,1214.1,19.1,5.7,0.0,1195.7,False,,Scrambled
1010877,6,20000516,1,2023,Derrick Rose,NY,PG,0,20000006,2023-01-02T05:12:02,26,324.1,401,37,73.0,185.4,47.1,54.1,50.2,113.6,52.9,22.7,71.8,37.9,13.2,14.4,109.7,11.4,38.3,47.8,3.6,12.3,9.1,55.0,10.0,7.2,26.3,21.5,181.8,191.7,56.7,16.0,24.6,1.5,2.0,14.4,27.6,338.5,351.0,338.5,-28.7,0.0,0.0,351.0,False,,Scrambled
1011055,1,20000517,1,2023,Taj Gibson,WAS,PF,1,20000001,2023-01-02T05:12:02,23,194.0,246,25,37.1,69.4,63.9,66.0,33.5,53.8,74.4,4.3,15.5,27.6,17.9,23.9,89.7,14.4,28.7,43.1,9.5,14.9,11.6,14.4,12.0,8.6,13.2,50.2,95.7,79.9,71.4,17.7,11.6,3.4,3.5,16.9,19.7,213.1,204.5,213.1,10.0,0.0,0.0,204.5,False,,Scrambled
1010938,24,20000522,1,2023,Doug McDermott,SA,SF,0,20000024,2023-01-02T05:12:02,31,552.1,758,24,144.7,307.4,56.3,70.7,70.6,129.2,65.3,74.2,178.2,49.8,23.9,32.3,88.6,13.2,68.2,81.3,2.7,12.5,8.6,57.4,2.9,7.2,35.9,62.2,387.5,321.6,72.0,18.5,13.0,0.2,1.0,12.0,23.5,560.4,611.2,560.4,-65.8,0.0,0.0,611.2,False,,Scrambled
1010881,25,20000539,1,2023,Dwight Powell,DAL,C,22,20000025,2023-01-02T05:12:02,32,472.4,673,17,87.3,120.8,86.5,86.5,87.3,118.4,88.1,0.0,2.9,0.0,52.6,78.9,79.8,73.0,64.6,137.5,15.1,13.7,14.4,23.9,20.3,16.7,29.9,107.6,227.2,155.5,87.4,19.6,7.5,2.2,3.2,19.3,15.0,509.5,494.2,509.5,141.1,0.0,0.0,494.2,False,,Scrambled
1010116,7,20000544,1,2023,James Harden,PHI,SG,20,20000007,2023-01-02T05:12:02,20,1103.7,910,11,159.1,363.6,52.4,62.9,93.3,187.8,59.4,65.8,175.8,44.7,139.9,157.9,106.0,10.8,137.5,148.3,2.0,20.6,11.3,265.5,34.7,13.2,92.1,50.2,523.8,433.0,72.4,30.8,53.9,2.7,1.9,21.0,31.0,1151.5,1215.1,1151.5,147.1,14.4,1.4,1213.3,False,,Scrambled
1011117,3,20000549,1,2023,Clint Capela,ATL,C,27,20000003,2023-01-02T05:12:02,27,981.2,887,53,175.8,276.3,76.1,76.1,175.8,276.3,76.1,0.0,0.0,0.0,35.9,59.8,71.8,139.9,245.2,385.1,19.7,36.5,27.9,23.9,20.3,43.1,31.1,76.5,387.5,302.6,76.5,29.7,5.6,1.6,5.9,11.1,19.0,1044.6,1046.5,1044.6,15.5,20.3,0.0,1046.5,False,,Scrambled
1010149,27,20000554,1,2023,Patrick Beverley,LAL,PG,29,20000027,2023-01-02T05:12:02,29,566.3,934,56,71.8,183.0,46.9,59.4,33.5,65.8,60.9,38.3,117.2,39.1,29.9,37.1,96.4,20.3,105.2,125.6,3.4,13.9,10.3,92.1,31.1,17.9,32.3,98.1,211.7,199.3,63.6,12.2,14.6,2.2,2.3,16.7,12.6,615.3,607.9,615.3,-101.7,0.0,0.0,607.9,False,,Scrambled
1010159,9,20000560,1,2023,Marcus Smart,BOS,PG,33,20000009,2023-01-02T05:12:02,33,1086.6,1308,11,160.3,379.1,50.6,61.8,89.7,169.8,63.1,70.6,209.3,40.3,52.6,68.2,92.3,26.3,105.2,131.6,3.2,10.5,7.9,290.6,53.8,14.4,87.3,110.0,443.7,409.1,64.8,18.8,35.6,2.9,1.3,21.0,19.8,1154.7,1179.3,1154.7,190.2,5.7,0.0,1179.3,False,,Scrambled
1010932,29,20000562,1,2023,Jae Crowder,PHO,PF,0,20000029,2023-01-02T05:12:02,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
1010772,17,20000564,1,2023,Kelly Olynyk,UTA,C,35,20000017,2023-01-02T05:12:02,35,1027.8,1200,22,173.4,338.5,61.2,72.2,111.2,192.6,69.1,62.2,145.9,50.9,119.6,143.5,99.6,49.0,156.7,205.7,6.4,17.5,11.4,134.0,47.8,26.3,96.9,165.0,528.6,401.6,78.7,21.1,18.3,2.7,2.6,23.2,20.9,1102.0,1119.5,1102.0,5.7,1.4,0.0,1119.5,False,,Scrambled
1010152,27,20000571,1,2023,LeBron James,LAL,SF,28,20000027,2023-01-02T05:12:02,28,1617.7,1201,17,374.3,740.3,60.5,66.1,303.8,511.9,70.9,70.6,228.4,37.0,135.1,179.4,90.1,41.9,230.8,272.7,5.5,23.8,14.6,222.5,34.7,20.3,107.6,61.0,954.4,819.3,69.6,35.3,38.7,1.9,2.0,13.9,39.2,1672.7,1736.6,1672.7,23.9,10.8,0.0,1736.6,False,,Scrambled
1011131,12,20000572,1,2023,Kevin Love,CLE,PF,2,20000012,2023-01-02T05:12:02,29,712.1,712,18,105.2,250.0,50.4,67.0,35.9,74.2,57.9,69.4,175.8,47.2,50.2,57.4,104.6,31.1,210.5,241.6,7.6,40.9,24.0,71.8,8.6,8.6,44.3,56.2,330.1,275.2,71.8,22.3,17.6,0.7,1.3,16.6,24.1,726.5,788.2,726.5,136.3,5.7,0.0,788.2,False,,Scrambled
1011000,8,20000574,1,2023,Kyrie Irving,BKN,PG,26,20000008,2023-01-02T05:12:02,26,1243.6,1137,37,301.4,613.5,58.7,68.1,205.7,351.6,70.0,95.7,261.9,43.7,116.0,126.8,109.4,25.1,129.2,154.3,3.8,14.8,11.2,145.9,22.7,26.3,73.0,84.9,814.5,669.3,72.8,30.1,24.5,1.4,2.9,11.7,35.2,1292.6,1337.4,1292.6,107.6,1.4,0.0,1337.4,False,,Scrambled
1010897,30,20000579,1,2023,Matthew Dellavedova,SAC,PG,0,20000030,2023-01-02T05:12:02,15,71.8,121,14,10.0,27.5,36.4,41.6,5.7,15.5,36.8,4.3,12.0,35.9,1.4,4.3,39.8,1.4,5.7,7.2,1.6,6.3,4.0,23.9,8.6,0.0,8.6,14.4,21.5,29.1,43.9,10.2,29.0,4.0,0.0,23.7,15.3,78.9,77.4,78.9,-44.3,0.0,0.0,77.4,False,,Scrambled
1010805,8,20000584,1,2023,Joe Harris,BKN,SF,18,20000008,2023-01-02T05:12:02,29,543.8,890,50,107.6,253.6,50.8,66.6,41.9,81.3,61.6,65.8,172.2,45.7,14.4,20.3,84.4,14.4,82.5,96.9,2.8,12.1,9.0,58.6,21.5,10.8,20.3,86.1,295.4,262.5,67.3,13.8,10.2,1.7,1.5,10.3,17.1,576.1,591.7,576.1,63.4,0.0,0.0,591.7,False,,Scrambled
1010771,10,20000587,1,2023,Thaddeus Young,TOR,PF,9,20000010,2023-01-02T05:12:02,32,527.8,666,24,87.3,160.3,65.2,67.0,82.5,134.0,73.7,5.7,26.3,21.8,16.7,22.7,88.1,64.6,77.7,142.3,12.4,17.1,14.6,65.8,43.1,4.3,31.1,73.0,196.1,170.3,68.8,19.8,16.7,4.6,0.8,18.5,15.5,574.4,552.9,574.4,-44.3,0.0,0.0,552.9,False,,Scrambled
1011834,15,20000588,1,2023,Brook Lopez,MIL,C,35,20000015,2023-01-02T05:12:02,35,1188.5,1274,59,228.4,455.7,59.9,70.7,147.1,244.0,72.1,81.3,211.7,45.9,73.0,90.9,96.0,78.9,173.4,252.4,9.5,16.8,12.4,46.6,23.9,107.6,58.6,99.3,611.2,495.7,73.7,24.3,7.9,1.3,10.1,12.6,21.9,1320.0,1274.6,1320.0,69.4,2.9,0.0,1274.6,False,,Scrambled
1010989,14,20000591,1,2023,Bojan Bogdanovic,DET,PF,38,20000014,2023-01-02T05:12:02,38,1276.5,1418,53,311.0,645.8,57.5,67.8,202.1,379.1,63.7,108.8,266.7,48.8,216.5,241.6,107.2,26.3,139.9,166.2,2.8,13.4,9.2,118.4,27.5,2.9,107.6,81.3,947.2,752.1,75.3,25.6,16.8,1.3,0.2,15.0,30.8,1306.4,1393.0,1306.4,-252.4,0.0,0.0,1393.0,False,,Scrambled
1011024,2,20000594,1,2023,Mason Plumlee,CHA,C,37,20000002,2023-01-02T05:12:02,37,1254.6,1220,41,180.6,287.0,75.2,75.2,180.6,287.0,75.2,0.0,0.0,0.0,104.1,178.2,69.8,149.5,257.1,406.6,14.8,28.3,21.2,165.0,31.1,32.3,73.0,142.3,465.2,365.4,76.2,26.1,23.0,1.7,3.4,19.9,17.9,1318.0,1332.9,1318.0,-246.4,14.4,0.0,1332.9,False,,Scrambled
1010160,9,20000603,1,2023,Al Horford,BOS,C,28,20000009,2023-01-02T05:12:02,28,788.4,1030,54,123.2,251.2,58.6,75.7,51.4,89.7,68.5,71.8,161.5,53.1,7.2,11.4,74.8,34.7,175.8,210.5,5.4,22.2,13.5,86.1,14.4,37.1,20.3,59.8,324.1,255.4,75.9,19.2,13.3,1.0,4.3,10.5,14.0,839.8,850.4,839.8,155.5,4.3,0.0,850.4,False,,Scrambled
1010170,27,20000606,1,2023,Dennis Schröder,LAL,PG,19,20000027,2023-01-02T05:12:02,22,480.7,721,29,98.1,222.5,52.7,60.4,70.6,141.1,59.8,27.5,81.3,40.4,55.0,61.0,107.9,5.7,51.4,56.2,1.0,10.6,6.0,101.7,14.4,0.0,46.6,57.4,278.7,249.3,66.9,15.2,22.5,1.3,0.0,18.8,20.8,495.0,520.6,495.0,-56.2,0.0,0.0,520.6,False,,Scrambled
1010858,18,20000613,1,2023,Mike Muscala,OKC,PF,1,20000018,2023-01-02T05:12:02,26,374.6,423,31,59.8,139.9,51.1,65.4,25.1,44.3,67.9,34.7,95.7,43.3,25.1,31.1,96.6,14.4,82.5,96.9,5.0,25.0,14.4,28.7,8.6,15.5,11.4,50.2,179.4,153.6,69.8,20.4,11.1,1.1,4.6,8.4,19.2,397.3,401.6,397.3,122.0,0.0,0.0,401.6,False,,Scrambled
1011843,28,20000617,1,2023,Nicolas Batum,LAC,PF,5,20000028,2023-01-02T05:12:02,37,691.5,935,20,94.5,212.9,53.1,72.6,23.9,44.3,64.7,70.6,168.6,50.0,19.1,31.1,73.6,39.5,153.1,192.6,6.8,21.0,13.5,59.8,27.5,34.7,32.3,89.7,278.7,226.6,73.6,16.9,10.6,2.1,4.7,14.9,14.5,753.7,752.6,753.7,125.6,0.0,0.0,752.6,False,,Scrambled
1011129,12,20000618,1,2023,Robin Lopez,CLE,C,1,20000012,2023-01-02T05:12:02,23,148.5,246,29,38.3,58.6,78.1,78.1,37.1,57.4,77.3,1.4,1.4,119.6,10.8,14.4,89.7,21.5,21.5,43.1,12.6,12.0,12.3,12.0,1.4,4.3,19.1,32.3,88.5,64.9,81.2,15.4,10.2,0.3,1.9,27.2,18.3,153.3,160.9,153.3,-8.4,0.0,0.0,160.9,False,,Scrambled
1010903,19,20000619,1,2023,Damian Lillard,POR,PG,23,20000019,2023-01-02T05:12:02,23,1152.8,974,10,232.0,528.6,52.5,65.5,116.0,217.7,63.7,116.0,311.0,44.6,184.2,203.3,108.4,19.1,90.9,110.0,3.2,12.5,9.2,194.9,21.5,10.0,95.7,53.8,764.2,618.1,73.9,32.9,40.1,1.6,1.1,16.0,38.5,1182.7,1273.1,1182.7,138.7,7.2,0.0,1273.1,False,,Scrambled
1011063,23,20000620,1,2023,CJ McCollum,NO,PG,32,20000023,2023-01-02T05:12:02,32,1352.8,1342,36,287.0,686.5,50.0,59.2,181.8,412.6,52.7,105.2,273.9,45.9,77.7,94.5,98.4,34.7,154.3,189.0,4.1,15.4,11.3,228.4,40.7,22.7,100.5,68.2,757.1,728.1,62.2,23.0,30.7,2.1,2.3,14.5,31.2,1416.2,1472.3,1416.2,128.0,5.7,0.0,1472.3,False,,Scrambled
1011853,15,20000629,1,2023,Wesley Matthews,MIL,SG,0,20000015,2023-01-02T05:12:02,25,214.6,450,71,28.7,87.3,39.3,55.7,7.2,16.7,42.7,22.7,70.6,38.5,10.8,12.0,107.6,22.7,27.5,50.2,7.7,9.0,8.4,19.1,15.5,8.6,10.8,46.6,90.9,92.6,58.6,11.2,7.8,2.4,1.9,12.5,11.6,237.3,233.8,237.3,1.4,0.0,0.0,233.8,False,,Scrambled
1011103,20,20000632,1,2023,Jeff Green,DEN,PF,3,20000020,2023-01-02T05:12:02,24,369.4,556,3,81.3,154.3,63.0,66.7,71.8,118.4,72.5,11.4,35.9,31.9,41.9,61.0,82.0,25.1,55.0,80.1,7.7,13.6,10.1,32.3,10.8,10.0,27.5,50.2,214.1,181.1,70.7,16.5,10.9,1.3,2.0,15.8,19.6,388.6,392.0,388.6,-77.7,0.0,0.0,392.0,False,,Scrambled
1011121,17,20000635,1,2023,Mike Conley,UTA,PG,27,20000017,2023-01-02T05:12:02,28,824.8,976,1,110.0,291.8,45.1,57.4,50.2,123.2,48.8,59.8,168.6,42.5,50.2,67.0,89.7,13.2,62.2,75.3,2.1,10.2,6.1,251.2,35.9,8.6,58.6,78.9,330.1,321.3,61.5,18.7,40.5,2.5,0.9,18.4,19.6,867.8,894.9,867.8,-7.2,5.7,0.0,894.9,False,,Scrambled
1010129,26,20000642,1,2023,JaMychal Green,GS,PF,1,20000026,2023-01-02T05:12:02,28,409.2,499,32,76.5,149.5,61.2,67.0,61.0,90.9,80.3,15.5,58.6,31.7,26.3,35.9,87.7,49.0,86.1,135.1,13.1,22.4,17.8,25.1,14.4,12.0,38.3,68.2,194.9,165.3,70.7,18.3,9.9,1.9,3.1,22.5,20.6,435.5,442.8,435.5,-74.2,0.0,0.0,442.8,False,,Scrambled
1011847,28,20000646,1,2023,Kawhi Leonard,LAC,SF,14,20000028,2023-01-02T05:12:02,16,599.1,554,6,125.6,263.1,57.0,62.0,105.2,189.0,66.6,20.3,74.2,32.8,59.8,76.5,93.4,20.3,95.7,116.0,5.9,22.2,13.8,75.3,16.7,7.2,29.9,28.7,331.3,296.8,66.7,27.6,27.3,2.1,1.4,10.9,30.9,621.8,630.0,621.8,136.3,0.0,0.0,630.0,False,,Scrambled
1010849,21,20000650,1,2023,Danny Green,MEM,SG,0,20000021,2023-01-02T05:12:02,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,Scrambled
1011118,14,20000655,1,2023,Cory Joseph,DET,PG,2,20000014,2023-01-02T05:12:02,32,417.4,585,53,63.4,157.9,48.1,56.2,40.7,90.9,53.5,22.7,67.0,40.5,25.1,33.5,89.7,11.4,38.3,47.8,2.5,10.6,6.4,117.2,14.4,2.9,23.9,53.8,174.6,172.6,60.4,15.5,33.9,1.7,0.5,14.6,17.1,434.1,443.1,434.1,-3.6,0.0,0.0,443.1,False,,Scrambled
1010848,8,20000656,1,2023,Patty Mills,BKN,PG,1,20000008,2023-01-02T05:12:02,24,255.5,338,20,57.4,119.6,57.4,75.3,21.5,37.1,69.5,35.9,82.5,52.0,16.7,17.9,111.6,7.2,21.5,27.5,3.1,9.9,6.7,35.9,8.6,1.4,15.5,13.2,167.4,127.5,78.6,22.1,17.6,1.5,0.4,13.0,22.8,263.8,282.6,263.8,-47.8,0.0,0.0,282.6,False,,Scrambled
1010912,16,20000659,1,2023,Kyle Anderson,MIN,SF,12,20000016,2023-01-02T05:12:02,27,637.6,795,18,84.9,180.6,56.2,61.0,70.6,142.3,59.3,14.4,38.3,44.8,56.2,70.6,95.3,17.9,117.2,135.1,3.7,18.8,11.2,108.8,34.7,23.9,45.4,65.8,240.4,211.6,67.9,18.1,21.1,2.9,4.0,21.1,16.5,696.2,676.0,696.2,-15.5,1.4,0.0,676.0,False,,Scrambled
